offer_id,name_of_offer,offer_type,reward,cost,offer-description,isBundle,BundleDuration,imageOverride,imageOverrideSize,stockpile,tags,overlayPng,customReq,overlayOpacity,backgroundImage,backgroundOpacity
#Id of offer : unique,#Name of Offer,"#TYPES: COLONY,MISC,OFFICER,SHIP,WEAPON,FIGHTER","#hashmap : reward can be like : ship:1, weapon:3","#hashmap , cost can look like this : POINTS:3000, CASH:600000",#description of offer,#Determines if offer is bundle,#Duration of Bundle(Days),#Override used to display custom image in offer box ,,"#Stockpile work like this - amount_of_goods:cooldown -> you specify here amount of goods per stockpile ,if player buys entier stockpile then it starts cooldown of reseting it ","#example tags: infinite:stockpile is always there, unique:
 You can buy this offer only one time, 
point_conversion -> cosmetic tag that this offer showcases for example 1 item -> 1200 points . 
Req that offer ONLY have points as reward
uaf_reputation : check for repurtaion
uaf_custom_req_$memoryFlag: check for custom req 
first is for validation
second is id of memory flag","#path for overlay png, usable only for customReq","#Instruction : One offer can have multiple custom req and each one should follow strictly those instructions
Each new customReq entry seperator is ;
Structure of one custom Req example 
Memory Flag (MUST BE SET IN PLAYER MEMORY)<&>Description of req 
Example of one custom req $UAFTiltedDaggerMissionPartThree_Completed<&>Complete Mission: Tilted Dagger
Example of two custom req $UAFTiltedDaggerMissionPartThree_Completed<&>Complete Mission: Tilted Dagger;$UAFTiltedDaggerMissionPartTwo_Completed<&>Complete Mission: Tilted Dagger","#Opacity of overlay, only used when offer has custom Req, if image is not specified, then offer will be using black image.",,
#COLONY ITEMS,,,,,,,,,,,,,,,,
uaf_colony_item1,Dimensional Nanoforge,COLONY,uaf_dimen_nanoforge:1:SPECIAL_ITEM,points:5000:POINTS,"By far the most, if not one of, advanced manufacturing technology ever developed by the Auroran Naval Research Bureau for their heavy industries and shipyards. Leveraging on understood technical details and aspects of the incredibly advanced Domain industrial nanoforges, the Auroran in-house manufacturing box is able to produce anything in an industrial-scale as long as the necessary materials were provided. Whilst still having lower output than contemporary nanoforges, the emphasis on efficiency and safety meant it is much safer to use and poses less risk to the environment. ",false,0,,,3:350,uaf_reputation_FAVORABLE,,,,,
uaf_colony_item2,Modular Purifier,COLONY,uaf_modular_purifier:1:SPECIAL_ITEM,points:4000:POINTS,A modular component intended for refineries’ operations. It specialises in refining raw materials into useful components and materials at greater efficiency than regular refining machines. ,false,0,,,3:350,uaf_reputation_FAVORABLE,,,,,
uaf_colony_item3,Servosync Pump,COLONY,uaf_servosync_pump:1:SPECIAL_ITEM,points:5000:POINTS,"A special industrial component used in enhancing fuel production. Based upon the Synchrotro’s concept of converting volatile gasses into high-quality anti-matter fuels, it is designed to be modular instead and able to be fitted into any installation regardless of the environment, though at a reduced efficiency. It is one of the key industrial components in supporting the Federation’s vital fuel economy at Nova Drive Yards.",false,0,,,3:350,uaf_reputation_FAVORABLE,,,,,
uaf_colony_item4,Confectionary Stove,COLONY,uaf_dimen_microwave:1:SPECIAL_ITEM,points:5000:POINTS,"A specialised equipment used only in the Auroran’s unique Confectionary Industry. It is essentially an enlarged oven used in baking large quantities of pastries and other food at an industrial-scale. Considered to be a vital component in sustaining the ever growing confectionary markets, all Confectionaries are recommended by default to have the stove installed.",false,0,,,3:350,uaf_reputation_FAVORABLE,,,,,
uaf_colony_item5,Access Router,COLONY,uaf_access_router:1:SPECIAL_ITEM,points:5000:POINTS,"A highly advanced access router used in enhancing interplanetary communication. One of its main uses, as the Aurorans find out later on, is using it to assist in tech mining operations.",false,0,,,3:350,uaf_reputation_FAVORABLE,,,,,
uaf_colony_item6,Garrison Transmitter,COLONY,uaf_garrison_transmitter:1:SPECIAL_ITEM,points:5000:POINTS,A military-grade planetary transmitter installation for enhancing communication networks. It is designed to be highly resistant to electronic warfare whilst capable of sustaining a wide range of communication networks with little delays. Most Auroran spaceports and planetary defence facilities are installed with this for increased accessibility and defence coordination respectively.,false,0,,,3:350,uaf_reputation_FAVORABLE,,,,,
uaf_colony_item7,Rice Cooker,COLONY,uaf_rice_cooker:1:SPECIAL_ITEM,points:4000:POINTS,"An experimental and oversized automated portable cooking device used to assist in food production. Whilst expensive to run, it is capable of preparing large bulks of rice and other food suitable to be cooked in a rice cooker in short orders and improving the food quality. Most farmfields are equipped with one of these oversized modular cooking devices to sustain the ever growing demands for good quality rice. ",false,0,,,3:350,uaf_reputation_FAVORABLE,,,,,
,,,,,,,,,,,,,,,,
#ITEMS,,,,,,,,,,,,,,,,
