name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
#UAF Standard Built-ins,,,,,,,,,,,,,,,,,,,
Auroran Engineering,uaf_auroranEngineering,,,Auroran Tech,,,,,TRUE,,0,0,0,0,data.hullmods.uaf_auroranEngineering,"Damage control is the most important step to ensure the survivability of both crew and ship. Auroran ship crew and other personnel are typically trained to be able to conduct basic repairs and firefighting, no matter how small the attempts may be, one well-placed tape at the right spot might make a real difference between life and death. Multiple types of equipment are typically readily available across the ship, ready to be used for when the situation demands it.",HP Regeneration,,graphics/hullmods/uaf_auroranengineering.png
Auroran AEGIS Package,uaf_enhanced_pd,,,Auroran Tech,,,,,TRUE,,0,0,0,0,data.hullmods.uaf_enhanced_pd,"The Auroran AEGIS Combat System is an integrated naval weapons systems designed to identify and intercept incoming threat, its commonly seen on ships that provides anti-air protection bubble that'll ensure the safety of the naval squadron. The radar required to be placed on at a position where it isn't blocked by physical objects to ensure maximum coverage.",Extra PD Range,,graphics/hullmods/uaf_enhanced_pd.png
AEGIS Type-Concord,uaf_aegis_concord,,,Auroran Tech,,,,,TRUE,,0,0,0,0,data.hullmods.uaf_aegis_concord,"A special weapon control unit that improves the range of point defense weapons and reduces the weapon recoil of when firing while increasing the projectile speed. Due to safety protocols, the AEGIS concord inhibits the rate of fire to prevent overheat.",,,graphics/hullmods/uaf_aegis_concord.png
Atmospheric Capable,uaf_atmospheric_entry,,,Auroran Tech,,,,,TRUE,,0,0,0,0,data.hullmods.uaf_atmospheric_entry,This ship is designed to be atmospheric-capable thanks to its aerodynamic design and hybrid propulsion system. It also houses a specially made reverse gravity repulsor drive that grants the ability to stay in the air a bit longer but not necessarily float freely under its own power. This also allowing it to fly into the planet's atmosphere and support local ground forces to a certain extent.,Ground Support Package,,graphics/hullmods/uaf_atmocapable.png
Optimized Ordnance Assembly,uaf_ordnanceAssembly,,,Auroran Tech,,,,,TRUE,,0,0,0,0,data.hullmods.uaf_ordnanceAssembly,An average Auroran missile ship would have most of their interior space filled with missile storage compartment in a position where it's both secured and optimally placed for better logistics management. Special automated equipment and systems are also in place but that typically tends to increase the production cost much higher than anticipated.,,,graphics/hullmods/uaf_ordnanceassembly.png
Weapon Calibration,uaf_weaponCalibration,,,Auroran Tech,,,,,TRUE,,0,0,0,0,data.hullmods.uaf_weaponCalibration,"Inazuma are typically used in a ship to ship combat thanks to its forward weapon mounts. This encouraged the Akatsuki Shipbuilding Co. to modify the ship systems by simplifying the installation and calibration process. At the same time, such modification made reloading slightly slower as the ammo conveyor belts have to make room for the new additions.",Inazuma Weapon Buff,,graphics/hullmods/uaf_enhanced_pd.png
Royal Arithmetic Control,uaf_royal_arithmetic_sys,,,Auroran Tech,,,,,TRUE,,0,0,0,0,data.hullmods.uaf_royal_arithmetic_sys,"The unique Auroran Delta-level AI will provide the most optimal solution and method to ensure that both weapons and LPCs produced by this ship are always in top form. For each ballistic and energy weapon slotted in the universal mount, increase ballistic or energy damage by %s (%s max). If ballistic is installed in the universal mount, +%s weapon range and if energy is installed, +%s weapon range. Furthermore, for each fighter squadron present, increase fighter and interceptor damage dealt by %s (%s max).",,,graphics/hullmods/uaf_arithmetic_control.png
Neoyselif Gunnery Control,uaf_neoyselif_gunnery_control,,,Auroran Tech,,,,,TRUE,,0,0,0,0,data.hullmods.uaf_neoyselif_gunnery_control,"A weapon control unit that improves the weapon range, turn rate and damage dealt but this also decreases the weapon rate of fire.",,,graphics/hullmods/uaf_aegis_concord.png
,,,,,,,,,,,,,,,,,,,
